"","Ac_No","Age","Years.of.Experience","Number.of.Vehicles","Gender","Married","Losses.in.Thousands"
"170",164381,19,2,1,"M","Married",289.320228
"172",187545,61,42,1,"F","Single",380.0193648
"173",140733,35,17,1,"M","Single",402.9137936
"177",106285,62,43,1,"M","Single",56.27149032
"179",100018,29,10,1,"M","Married",140.7946555
"180",135733,65,44,1,"M","Single",290.7360244
"184",126842,41,24,1,"F","Single",428.4593856
"186",121046,62,42,1,"F","Married",256.9014828
"187",127128,36,15,1,"F","Married",376.2971849
"191",152361,52,31,1,"F","Married",311.9191271
"193",108018,58,39,1,"M","Single",818.0944497
"194",112856,36,17,1,"F","Married",320.2940291
"198",150327,63,44,1,"F","Single",465.658248
"200",179628,22,5,1,"M","Married",360.8051782
"201",154549,22,3,1,"F","Married",837.3677817
"205",115293,24,5,1,"M","Married",989.6964115
"207",151108,20,2,1,"F","Married",166.5373225
"208",134055,43,25,1,"M","Married",692.538638
"212",110664,64,44,1,"M","Single",244.1284514
"214",198927,38,21,1,"M","Married",321.0614316
"215",193212,19,0,1,"M","Married",328.3589705
"219",189632,64,47,1,"M","Single",65.68992357
"221",160508,28,11,1,"F","Married",159.3673423
"222",125668,16,0,1,"M","Married",476.5346165
"226",193267,52,31,1,"M","Married",314.1997614
"228",114690,16,0,1,"F","Married",303.4043979
"229",117370,23,5,1,"F","Single",787.7636887
"233",117625,47,28,1,"M","Married",561.796776
"235",149512,19,2,1,"F","Single",777.5951773
"236",181260,27,8,1,"F","Single",355.8158451
"240",127336,21,2,1,"M","Married",770.4316087
"242",178596,65,44,1,"F","Married",151.2848344
"243",101155,30,13,1,"F","Single",696.0295489
"247",135272,40,22,1,"F","Single",629.444886
"249",100210,56,35,1,"F","Married",571.9363703
"250",111093,19,2,1,"F","Married",282.4138477
"254",164611,25,8,1,"M","Married",409.9010323
"256",191061,40,20,1,"M","Single",423.7222281
"257",151362,46,28,1,"F","Single",344.2283454
"261",141403,25,8,1,"F","Married",328.8843527
"263",116796,64,46,1,"F","Single",454.9945793
"264",118790,34,14,1,"M","Single",762.0191521
"268",168461,21,3,1,"M","Single",586.595506
"270",168785,26,9,1,"F","Single",147.7489935
"271",175417,51,34,1,"F","Married",308.8097112
"275",187609,62,44,1,"F","Married",39.95489011
"277",147658,27,9,1,"F","Married",311.3847328
"278",196071,24,5,1,"M","Married",335.7048594
"282",101429,61,41,1,"M","Single",35.74744486
"284",133327,51,32,1,"F","Single",590.2667386
"285",196564,49,31,1,"F","Single",525.5303261
"289",172979,36,15,1,"F","Single",877.9333318
"291",159595,20,1,1,"F","Single",519.6358893
"292",154012,70,53,1,"F","Single",103.2503942
"296",141110,21,4,1,"M","Married",479.7951029
"298",120429,66,49,1,"F","Single",71.76435204
"299",138510,63,44,1,"M","Single",131.0544977
"303",153902,21,4,1,"M","Married",252.3853189
"305",198193,63,44,1,"F","Single",153.8388035
"306",169076,63,42,1,"M","Married",94.0483353
"310",169496,63,46,1,"M","Married",75.81174432
"312",117445,61,41,1,"F","Married",130.9914388
"313",128507,34,16,1,"M","Married",147.2741212
"317",186036,16,0,1,"M","Married",478.3520156
"319",182237,48,29,1,"F","Married",527.9214511
"320",110357,17,0,1,"F","Married",246.7103971
"324",192607,24,7,1,"M","Single",681.6009788
"326",194944,45,28,1,"F","Single",237.9548251
"327",187015,38,19,1,"M","Single",726.0985559
"331",140976,52,33,1,"M","Married",264.9045348
"333",136163,20,1,1,"F","Married",356.4554345
"334",125842,70,49,1,"M","Single",639.261733
"338",101548,19,2,1,"M","Married",339.775025
"340",192742,35,17,1,"M","Married",167.8386883
"341",127036,16,0,1,"F","Single",622.0789033
"345",158864,48,31,1,"F","Single",581.3363152
"347",178723,33,15,1,"M","Married",546.5349024
"348",158387,57,40,1,"F","Single",379.2612055
"352",182161,24,5,1,"M","Married",604.5968924
"354",140740,52,32,1,"F","Single",323.3784995
"355",169171,25,7,1,"M","Married",180.2839243
"359",107571,26,8,1,"M","Married",425.3481104
"361",126567,62,42,1,"F","Single",127.4005318
"362",191861,52,31,1,"M","Married",332.1391406
"366",196931,17,0,1,"F","Married",479.4391977
"368",161597,68,51,1,"M","Single",48.10845199
"369",109884,18,0,1,"M","Married",333.2548377
"373",118109,69,49,1,"F","Married",44.85076261
"375",177000,22,4,1,"M","Married",456.2160705
"376",189028,59,40,1,"M","Single",780.2021419
"380",101617,25,6,1,"F","Single",227.3336458
"382",150893,22,3,1,"F","Single",238.1623425
"383",171784,23,5,1,"M","Married",623.8842385
"387",103030,24,6,1,"F","Married",182.8039805
"389",175249,31,13,1,"F","Single",502.7124322
"390",146920,42,25,1,"M","Single",262.9411765
"394",118396,57,39,1,"F","Single",367.8672027
"396",172178,24,5,1,"M","Married",451.8458055
"397",127158,55,38,1,"M","Married",354.9675474
"401",187466,61,42,1,"M","Married",341.8587982
"403",161277,25,6,1,"F","Single",559.1451267
"404",117086,16,0,1,"M","Married",547.4455297
"408",159443,55,36,1,"F","Married",188.8132454
"410",157188,19,0,1,"F","Married",345.0465518
"411",120132,28,11,1,"M","Married",315.3474326
"415",190872,18,0,1,"M","Single",684.6526982
"417",119068,35,16,1,"F","Single",401.6252338
"418",173295,63,46,1,"F","Single",253.4663373
"422",126513,17,0,1,"M","Married",324.5930853
"424",123461,20,2,1,"F","Married",164.3226813
"425",109839,56,35,1,"F","Single",286.5238132
"429",187957,31,10,1,"M","Married",268.77102
"431",122418,26,8,1,"F","Single",666.6766088
"432",159787,29,12,1,"F","Single",363.980308
"436",103987,68,50,1,"M","Married",96.75876211
"438",122734,67,49,1,"F","Married",117.5752762
"439",132167,70,53,1,"M","Single",264.2712706
"443",179575,63,45,1,"M","Married",138.3989724
"445",191744,55,38,1,"F","Single",191.0414252
"446",149303,25,6,1,"F","Married",445.6656637
"450",137799,50,31,1,"M","Married",360.8718623
"452",176582,45,26,1,"F","Single",383.44538
"453",171589,49,29,1,"F","Single",418.456828
"457",190056,43,23,1,"M","Married",363.9739969
"459",122527,19,1,1,"M","Married",510.3590398
"460",118246,65,47,1,"F","Single",41.57656736
"464",175335,46,25,1,"M","Single",274.8857402
"466",192099,31,14,1,"M","Single",405.4731829
"467",113488,44,27,1,"M","Single",684.9800141
"471",171107,32,14,1,"F","Single",281.440499
"473",159367,28,8,1,"F","Single",809.1460715
"474",154713,17,0,1,"M","Single",1023.788951
"478",166545,46,27,1,"F","Married",283.6638328
"480",163233,65,48,1,"M","Married",239.2136809
"481",113034,17,0,1,"F","Single",234.8382168
"485",161064,32,12,1,"F","Married",419.5637371
"487",185498,24,7,1,"M","Single",648.4970615
"488",187994,18,0,1,"M","Single",389.7294061
"492",104486,20,3,1,"M","Single",738.7166747
"494",189009,65,47,1,"F","Single",47.27603743
"495",185162,30,12,1,"F","Married",308.5713815
"499",121408,41,22,1,"F","Married",312.7213527
"501",160770,39,22,1,"F","Single",272.2594633
"502",110330,16,0,1,"M","Married",443.3265557
"506",177554,23,4,1,"M","Married",694.5794472
"508",196535,66,47,1,"M","Single",229.6906948
"509",127572,25,7,1,"M","Single",983.6492536
"513",156815,69,51,1,"M","Single",228.5962068
"515",108319,18,1,1,"F","Single",698.2797078
"516",139548,69,48,1,"M","Single",235.8586141
"520",102284,44,25,1,"F","Single",340.3533667
"522",138558,43,25,1,"M","Married",398.6963317
"523",113232,18,0,1,"M","Single",810.3321729
"527",113056,22,5,1,"F","Married",391.2488532
"529",160257,27,7,1,"M","Married",346.3474987
"530",114349,32,15,1,"F","Single",402.3212675
"534",189925,52,33,1,"M","Married",321.4892996
"536",166104,32,11,1,"F","Married",303.1333791
"537",108638,53,32,1,"F","Married",556.9123571
"541",140290,17,0,1,"M","Single",963.5760233
"543",167862,29,11,1,"F","Married",418.6738227
"544",140188,62,43,1,"F","Single",342.2447597
"548",141182,48,27,1,"F","Single",686.6217767
"550",157387,66,47,1,"M","Married",550.5213257
"551",179271,23,5,1,"M","Single",586.5806227
"555",170986,20,2,1,"M","Single",493.8180385
"557",127745,18,1,1,"M","Married",470.7737738
"558",126976,34,15,1,"F","Single",402.5129906
"562",111633,60,39,1,"M","Married",275.6651835
"564",195879,64,47,1,"F","Single",42.93175722
"565",145321,21,2,1,"M","Single",930.9972091
"569",199665,66,49,1,"F","Single",78.76982783
"571",183797,64,46,1,"M","Married",390.4062578
"572",176667,44,26,1,"M","Single",462.2550909
"576",109501,22,4,1,"M","Single",874.4650234
"578",183180,70,52,1,"F","Single",140.2225367
"579",107023,61,41,1,"M","Married",159.4451332
"583",114693,38,17,1,"F","Single",544.5163493
"585",154333,31,10,1,"F","Married",268.5320136
"586",102206,47,28,1,"M","Married",359.3406363
"590",175701,34,16,1,"F","Single",229.5774269
"592",122194,61,42,1,"M","Single",495.8440724
"593",182956,62,43,1,"F","Married",58.49819066
"597",177434,63,45,1,"M","Married",101.5269237
"599",144431,53,33,1,"M","Married",203.9808667
"600",152351,25,6,1,"F","Married",481.9361346
"604",139939,27,9,1,"F","Single",430.2106048
"606",134971,57,36,1,"F","Single",861.7717368
"607",124922,23,5,1,"F","Single",523.3410437
"611",178501,26,8,1,"M","Single",436.3278273
"613",151406,66,47,1,"M","Single",73.7182254
"614",170150,53,33,1,"M","Married",159.1531007
"618",138394,20,2,1,"F","Single",243.9793541
"620",136845,61,44,1,"M","Single",316.5254941
"621",170646,41,21,1,"F","Married",185.6857913
"625",122307,56,37,1,"M","Married",346.4563025
"627",165410,65,48,1,"F","Married",147.7444072
"628",184068,53,34,1,"F","Married",477.1837723
"632",118753,58,41,1,"F","Married",117.5921567
"634",125364,20,1,1,"M","Married",512.1821988
"635",136921,70,52,1,"F","Married",109.4343565
"639",148198,23,6,1,"M","Single",557.6682868
"641",141639,66,45,1,"F","Single",37.17363736
"642",118470,27,10,1,"F","Single",362.9964994
"646",133084,26,7,1,"M","Married",335.2827816
"648",190989,34,15,1,"M","Single",735.1929055
"649",153916,66,46,1,"M","Married",405.6157569
"653",134674,28,11,1,"F","Married",374.7148925
"655",149446,50,29,1,"F","Single",357.7424259
"656",191625,20,1,1,"F","Single",235.5727989
"660",165231,23,6,1,"M","Single",801.8957989
"662",166862,25,7,1,"F","Single",865.1700498
"663",185682,68,49,1,"F","Married",33.34637246
"667",154254,48,29,1,"F","Married",342.4184844
"669",147951,67,48,1,"M","Single",329.7247293
"670",179759,19,0,1,"M","Single",844.9966518
"674",177835,55,35,1,"M","Married",346.214594
"676",171124,49,30,1,"M","Married",307.6032853
"677",125647,63,43,1,"M","Married",118.1535711
"681",106553,54,35,1,"M","Single",679.0530079
"683",187245,30,11,1,"M","Single",482.5174629
"684",177032,56,36,1,"M","Married",192.6799087
"688",152324,68,50,1,"M","Single",398.8494738
"690",168352,25,7,1,"M","Single",1265.254483
"691",134503,19,1,1,"F","Single",553.7473001
"695",136504,60,39,1,"M","Married",65.4394601
"697",131041,33,15,1,"M","Single",707.7098739
"698",184282,67,46,1,"F","Single",340.8910535
"702",117922,21,2,1,"M","Married",891.5187959
"704",166876,21,2,1,"M","Married",207.011744
"705",188422,46,27,1,"F","Married",340.607225
"709",163934,44,27,1,"F","Single",372.644576
"711",167408,24,7,1,"F","Married",458.1587158
"712",169456,44,27,1,"F","Married",299.2104772
"716",187229,64,43,1,"F","Single",299.9230428
"718",156221,48,29,1,"F","Single",437.82145
"719",142932,60,40,1,"F","Married",554.8941047
"723",118609,38,21,1,"F","Single",404.2819242
"725",106047,62,42,1,"M","Married",555.6005312
"726",131121,70,53,1,"F","Single",153.1615919
"730",134528,70,51,1,"F","Married",32.84523715
"732",128850,62,41,1,"M","Married",56.4476765
"733",171597,66,45,1,"M","Married",49.35555095
"737",103807,65,45,1,"M","Married",218.8769746
"739",135934,61,43,1,"M","Single",89.22649655
"740",120212,69,49,1,"F","Married",230.589839
"744",190257,51,31,1,"F","Married",314.6486414
"746",103126,55,38,1,"F","Single",437.5486569
"747",192373,41,21,1,"M","Married",350.5732049
"751",162069,38,18,1,"M","Married",690.219118
"753",190643,64,46,1,"F","Married",228.1717927
"754",154356,52,33,1,"M","Married",561.5039553
"758",192867,62,43,1,"M","Married",284.6270671
"760",171178,53,35,1,"F","Married",471.5150074
"761",188454,31,14,1,"F","Single",343.1756364
"765",154536,37,19,1,"F","Single",416.9465298
"767",199525,23,6,1,"F","Married",138.2124308
"768",165243,61,40,1,"F","Married",92.94404984
"772",106064,38,19,1,"F","Married",310.9397719
"774",115865,46,29,1,"F","Married",328.9045117
"775",132569,70,52,1,"F","Single",385.0208974
"779",110036,70,50,1,"F","Single",392.2734468
"781",163522,49,32,1,"F","Married",319.7251844
"782",171670,58,40,1,"F","Single",430.3296192
"786",180841,19,0,1,"F","Married",276.5807741
"788",134977,18,0,1,"M","Married",279.8615512
"789",128818,50,29,1,"F","Single",465.7864789
"793",148888,39,20,1,"M","Single",862.1750525
"795",141991,37,18,1,"M","Married",400.3321226
"796",138771,33,15,1,"F","Single",694.5450764
"800",191041,67,50,1,"M","Married",93.51562689
"802",105086,39,20,1,"F","Single",365.7417475
"803",129371,37,18,1,"F","Married",298.7168796
"807",128196,16,0,1,"M","Single",789.2221205
"809",147704,63,42,1,"M","Married",581.0593991
"810",131627,24,5,1,"F","Single",481.1598112
"814",138868,61,43,1,"M","Married",348.6501515
"816",103717,64,47,1,"M","Single",212.3076172
"817",150800,28,11,1,"M","Single",297.3944661
"821",167595,57,39,1,"M","Married",693.878229
"823",104070,40,20,1,"M","Married",502.6195503
"824",188873,49,32,1,"M","Married",337.6150066
"828",172397,62,42,1,"M","Married",445.5511262
"830",171112,63,45,1,"M","Married",367.0996594
"831",139511,31,13,1,"M","Married",320.5519106
"835",126266,22,4,1,"F","Single",569.1210983
"837",122822,65,46,1,"M","Married",41.68772747
"838",103598,60,39,1,"F","Married",148.1725629
"842",104135,68,48,1,"F","Married",122.8164329
"844",158539,18,0,1,"F","Single",518.0761387
"845",119194,36,18,1,"F","Single",241.2948785
"849",159604,69,51,1,"F","Married",125.8350503
"851",167737,40,19,1,"M","Married",207.3153847
"852",168735,33,12,1,"M","Single",919.4340912
"856",160694,19,2,1,"F","Single",271.8929537
"858",123788,69,52,1,"F","Single",234.7357156
"859",118035,28,7,1,"F","Married",356.4938337
"863",121786,28,7,1,"M","Single",411.2520222
"865",113169,36,15,1,"F","Married",249.9467293
"866",129655,69,50,1,"M","Single",161.9476996
"870",131359,22,5,1,"M","Single",800.9309908
"872",113032,20,3,1,"M","Single",606.0372524
"873",194825,70,51,1,"F","Single",343.2685172
"877",198629,23,5,1,"M","Married",651.9069317
"879",168122,37,19,1,"F","Single",589.0525916
"880",102648,25,7,1,"M","Married",364.522933
"884",172954,26,5,1,"F","Married",349.4050007
"886",156007,46,28,1,"M","Married",630.5057856
"887",176790,65,44,1,"M","Married",479.8133205
"891",170979,69,48,1,"F","Married",119.6500676
"893",160027,53,36,1,"F","Married",297.5190349
"894",120525,69,48,1,"F","Single",30.84570505
"898",141782,68,49,1,"F","Single",75.69629415
"900",116477,44,24,1,"F","Married",326.6636811
"901",132995,51,33,1,"F","Single",462.2505406
"905",145466,68,47,1,"M","Single",230.9517193
"907",111575,23,6,1,"M","Married",293.4321973
"908",165488,62,43,1,"F","Married",599.9778705
"912",137693,31,12,1,"M","Single",727.8923199
"914",148145,69,50,1,"F","Married",383.0844977
"915",171418,43,22,1,"M","Married",361.1706404
"919",160960,46,25,1,"M","Married",390.0515833
"921",195594,43,26,1,"M","Married",592.2871812
"922",120787,68,49,1,"F","Single",313.0465443
"926",130529,17,0,1,"F","Single",350.7660344
"928",114658,44,27,1,"F","Single",452.5516079
"929",180190,51,31,1,"M","Married",312.0653155
"933",134796,61,41,1,"M","Single",236.6978813
"935",128550,67,50,1,"M","Single",102.0728666
"936",194468,31,12,1,"M","Married",324.8298627
"940",178003,43,25,1,"F","Married",333.9538906
"942",140156,42,22,1,"F","Single",403.70609
"943",129185,42,25,1,"F","Married",471.8190516
"947",175816,32,15,1,"M","Single",511.4659889
"949",174661,38,19,1,"F","Married",303.1201775
"950",128822,21,3,1,"M","Married",250.099125
"954",177850,19,0,1,"F","Married",228.2167881
"956",132143,58,39,1,"M","Married",344.8105362
"957",126188,17,0,1,"F","Married",381.7838871
"961",196710,60,39,1,"F","Single",44.73706716
"963",183570,22,4,1,"F","Married",107.8775639
"964",149545,29,9,1,"M","Single",665.9491438
"968",183366,52,33,1,"F","Married",181.8773342
"970",143559,57,40,1,"M","Married",625.2493695
"971",164071,58,37,1,"M","Married",187.4003044
"975",142244,53,36,1,"F","Single",374.7773463
"977",160518,26,6,1,"F","Married",382.1026866
"978",146817,47,30,1,"F","Single",453.0462645
"982",196800,16,0,1,"M","Married",169.8362524
"984",187305,57,36,1,"M","Married",375.2039276
"985",187736,70,53,1,"M","Single",99.29601274
"989",140706,66,49,1,"M","Married",152.1838825
"991",158910,68,47,1,"F","Single",101.120868
"992",113860,67,47,1,"M","Single",98.11645572
"996",142228,16,0,1,"F","Married",236.5629119
"998",149102,19,0,1,"F","Single",514.3464743
"999",114383,20,3,1,"M","Married",459.9911635
"1003",139789,23,4,1,"F","Single",561.8599305
"1005",158610,69,49,1,"F","Married",150.6347241
"1006",171964,52,31,1,"M","Married",353.6364025
"1010",141628,22,4,1,"F","Married",318.7108563
"1012",133556,23,5,1,"F","Single",1069.470213
"1013",133148,69,51,1,"F","Single",220.8134293
"1017",184161,26,7,1,"F","Married",346.2011049
"1019",199301,21,3,1,"F","Single",584.4584795
"1020",158931,39,19,1,"F","Married",339.6011591
"1024",159312,44,27,1,"F","Single",688.1702964
"1026",125564,51,31,1,"M","Single",600.436007
"1027",102121,39,20,1,"M","Married",320.0088665
"1031",186647,41,23,1,"F","Married",285.0448892
"1033",196322,20,3,1,"F","Married",295.8795577
"1034",175527,32,13,1,"M","Married",626.3597611
"1038",180944,23,5,1,"F","Single",728.0642984
"1040",180890,55,38,1,"F","Single",404.8388241
"1041",113494,62,42,1,"F","Single",186.6485083
"1045",166857,68,50,1,"F","Single",408.4515225
"1047",111072,53,36,1,"M","Single",259.8909694
"1048",123972,32,12,1,"F","Single",425.2124819
"1052",127481,36,18,1,"M","Married",393.2955575
"1054",110313,64,45,1,"M","Married",276.7748308
"1055",100868,25,8,1,"F","Single",342.6650991
"1059",101711,21,4,1,"F","Married",432.2491717
"1061",160873,65,44,1,"F","Single",283.9687422
"1062",116970,25,8,1,"M","Married",279.6556808
"1066",154741,55,35,1,"F","Married",333.633504
"1068",136616,17,0,1,"F","Married",266.0062224
"1069",136520,60,40,1,"M","Married",285.1038637
"1073",156108,17,0,1,"F","Married",270.6146732
"1075",178376,22,4,1,"M","Married",724.7811444
"1076",150779,64,47,1,"F","Married",245.6001242
"1080",185159,68,50,1,"M","Single",236.5013685
"1082",125904,68,47,1,"M","Married",29.78216176
"1083",118385,39,18,1,"M","Married",600.7874896
"1087",194418,65,46,1,"F","Married",128.3992407
"1089",186797,70,50,1,"M","Single",97.8872245
"1090",196925,47,29,1,"M","Married",422.1639047
"1094",175052,65,44,1,"M","Married",201.5901302
"1096",153419,63,43,1,"F","Married",115.7704846
"1097",148374,28,10,1,"F","Married",179.0536986
"1101",144335,64,44,1,"F","Married",235.6730053
"1103",128942,19,1,1,"M","Married",238.3462253
"1104",136351,39,21,1,"F","Single",739.0265466
"1108",153172,66,47,1,"M","Married",35.42012774
"1110",123059,36,18,1,"M","Single",459.9861188
"1111",193904,60,41,1,"M","Married",46.42128042
"1115",190565,43,24,1,"F","Married",436.6028495
"1117",145394,56,38,1,"F","Married",322.4044828
"1118",188884,17,0,1,"F","Single",350.3614044
"1122",149456,52,35,1,"F","Married",329.647359
"1124",157711,28,11,1,"M","Married",537.3045231
"1125",143665,47,27,1,"M","Single",402.2915712
"1129",190404,25,6,1,"F","Single",757.8709012
"1131",163832,70,53,1,"F","Married",98.22413289
"1132",148118,69,52,1,"F","Single",407.7675108
"1136",187857,70,49,1,"M","Single",179.8226162
"1138",135237,29,9,1,"M","Single",456.8106223
"1139",192799,64,44,1,"M","Married",79.02764007
"1143",166154,42,25,1,"M","Single",431.5898049
"1145",164558,70,52,1,"M","Married",184.317085
"1146",161536,59,41,1,"M","Single",426.0073629
"1150",125396,68,48,1,"M","Single",159.1670464
"1152",172308,68,49,1,"F","Single",82.41769821
"1153",196611,18,0,1,"F","Married",520.6205018
"1157",196594,22,4,1,"M","Single",481.2308348
"1159",114357,21,4,1,"F","Single",808.7610789
"1160",173922,22,5,1,"F","Single",406.8305601
"1164",145181,63,46,1,"M","Married",99.59866543
"1166",121784,20,2,1,"F","Single",576.7216887
"1167",113460,69,51,1,"M","Married",204.8013733
"1171",116002,41,24,1,"M","Married",359.0747385
"1173",137393,32,14,1,"M","Married",407.4961917
"1174",154293,50,33,1,"F","Single",367.5426684
"1178",187431,18,0,1,"F","Married",222.1065657
"1180",108052,20,1,1,"M","Single",939.1788216
"1181",120707,22,4,1,"F","Single",572.8165632
"1185",104980,17,0,1,"M","Married",476.875928
"1187",196887,16,0,1,"M","Married",238.350289
"1188",164360,19,0,1,"F","Married",395.5430993
"1192",197817,32,11,1,"M","Married",259.6195249
"1194",142091,26,8,1,"F","Married",125.8771424
"1195",101160,61,44,1,"M","Single",577.1904324
"1199",198773,18,0,1,"M","Married",282.3993159
"1201",112431,27,8,1,"M","Single",484.5144708
"1202",178296,61,43,1,"M","Single",261.6904151
"1206",189276,38,18,1,"F","Single",484.5883292
"1208",182710,18,0,1,"M","Single",563.8058374
"1209",148947,63,44,1,"M","Single",264.4793918
"1213",123822,19,0,1,"F","Single",433.2087995
"1215",140202,23,5,1,"F","Single",697.6382677
"1216",133123,19,0,1,"F","Married",319.5264432
"1220",106458,22,4,1,"F","Married",489.859737
"1222",155526,16,0,1,"M","Single",580.1143576
"1223",113134,16,0,1,"F","Single",432.1205891
"1227",107526,54,35,1,"M","Married",720.563647
"1229",160916,19,1,1,"F","Single",1131.743655
"1230",174769,41,21,1,"M","Single",277.4546101
"1234",125421,50,33,1,"F","Married",300.3399914
"1236",159308,66,49,1,"M","Single",296.8001778
"1237",165375,69,52,1,"M","Single",188.3179804
"1241",133990,70,50,1,"F","Married",84.88651418
"1243",141567,69,49,1,"M","Married",83.36179822
"1244",150093,65,48,1,"M","Married",34.05129958
"1248",186499,20,1,1,"F","Single",625.5405704
"1250",198335,65,47,1,"F","Married",20.18344798
"1251",135261,17,0,1,"F","Married",282.2230386
"1255",129355,28,11,1,"F","Married",285.3417405
"1257",163731,16,0,1,"M","Married",444.7072951
"1258",151281,60,39,1,"M","Single",127.5767945
"1262",152638,63,44,1,"F","Married",229.5443975
"1264",187027,70,50,1,"M","Single",284.5698704
"1265",127510,23,5,1,"F","Married",211.2160579
"1269",145834,46,26,1,"M","Single",364.0410413
"1271",190620,16,0,1,"M","Single",450.8608341
"1272",161429,23,4,1,"M","Married",365.5849778
"1276",180600,47,30,1,"F","Married",301.6710047
"1278",126428,30,9,1,"F","Single",396.4566513
"1279",190959,46,29,1,"M","Married",382.8006063
"1283",180480,24,6,1,"F","Married",246.7782666
"1285",125294,63,46,1,"F","Single",142.4987316
"1286",139115,44,27,1,"F","Single",426.0637585
"1290",115825,30,10,1,"M","Single",421.4794433
"1292",190813,63,42,1,"F","Single",192.5154704
"1293",133506,65,47,1,"F","Married",222.2934213
"1297",166269,21,3,1,"F","Single",534.3700065
"1299",152931,40,22,1,"M","Married",337.6245613
"1300",176266,18,0,1,"F","Single",501.3537223
"1304",104521,64,45,1,"M","Single",350.6281031
"1306",135371,66,46,1,"M","Married",223.5564035
"1307",170061,16,0,1,"F","Married",296.8130956
"1311",105405,16,0,1,"M","Single",855.2744104
"1313",113068,22,5,1,"M","Married",534.9538756
"1314",153802,51,30,1,"M","Married",345.0123467
"1318",122447,29,12,1,"M","Single",578.251118
"1320",138084,42,25,1,"F","Single",409.5283292
"1321",107601,50,32,1,"F","Married",378.3183766
"1325",118324,66,48,1,"M","Married",52.94552614
"1327",158125,23,4,1,"M","Single",1340.946549
"1328",131902,22,4,1,"M","Single",1620.536634
"1332",123630,17,0,1,"F","Single",935.8503856
"1334",112642,34,13,1,"M","Single",435.9831882
"1335",129120,34,15,1,"F","Single",370.307938
"1339",153109,22,3,1,"M","Married",249.3555374
"1341",150525,22,5,1,"F","Married",497.2378044
